DATE,TIME,BOROUGH,ZIP CODE,latitude,longitude,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/25/2018,5:00,,,40.9102,-73.896614,"(40.9102, -73.896614)",BROADWAY                        ,,,2,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3928550,Sedan,Sedan,,,
06/18/2018,11:00,BRONX,10470,40.904957,-73.85371,"(40.904957, -73.85371)",BRONX BOULEVARD                 ,EAST 241 STREET,,2,0,0,0,0,0,2,0,Turning Improperly,Following Too Closely,Other Vehicular,,,3924223,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
05/17/2018,23:30,BRONX,10470,40.90348,-73.85035,"(40.90348, -73.85035)",WHITE PLAINS ROAD               ,EAST 241 STREET,,2,0,0,0,0,0,2,0,Other Vehicular,Other Vehicular,Driver Inattention/Distraction,Other Vehicular,,3913396,Sedan,Sedan,Sedan,Sedan,
06/06/2018,1:55,BRONX,10470,40.90325,-73.84801,"(40.90325, -73.84801)",BARNES AVENUE                   ,CRANFORD AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3916566,Taxi,Sedan,,,
05/08/2018,18:25,BRONX,10466,40.90316,-73.84599,"(40.90316, -73.84599)",WILDER AVENUE                   ,CRANFORD AVENUE,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,3896948,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/19/2018,8:50,,,40.90207,-73.88714,"(40.90207, -73.88714)",HENRY HUDSON PARKWAY            ,,,2,0,0,0,0,0,2,0,Brakes Defective,Unspecified,,,,3924769,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/09/2018,9:56,BRONX,10466,40.899815,-73.85781,"(40.899815, -73.85781)",NEREID AVENUE                   ,BRONX BOULEVARD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3897733,Box Truck,Sedan,,,
06/03/2018,14:00,,,40.899628,-73.84435,"(40.899628, -73.84435)",NEREID AVENUE                   ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3913999,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/24/2018,18:00,BRONX,10470,40.898994,-73.85573,"(40.898994, -73.85573)",,,660       NEREID AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3908936,Sedan,AMBUL,,,
06/01/2018,20:55,,,40.898563,-73.85866,"(40.898563, -73.85866)",BRONX BOULEVARD                 ,,,2,0,0,0,0,0,2,0,Driver Inexperience,Unspecified,,,,3913590,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
05/11/2018,15:30,BRONX,10466,40.89825,-73.85786,"(40.89825, -73.85786)",EAST 237 STREET,CARPENTER AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3899391,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/03/2018,11:40,,,40.895466,-73.87713,"(40.895466, -73.87713)",EAST 233 STREET,,,2,0,0,0,0,0,2,0,Fell Asleep,,,,,3913682,Station Wagon/Sport Utility Vehicle,,,,
05/29/2018,17:58,,,40.895267,-73.86157,"(40.895267, -73.86157)",BRONX RIVER PARKWAY             ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3910929,Sedan,Sedan,,,
05/25/2018,10:35,BRONX,10470,40.895245,-73.87967,"(40.895245, -73.87967)",,,1         EAST 233 STREET,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3907677,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/13/2018,8:00,,,40.89442,-73.88212,"(40.89442, -73.88212)",MAJOR DEEGAN EXPRESSWAY RAMP    ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3901223,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/11/2018,16:02,BRONX,10466,40.894314,-73.86027,"(40.894314, -73.86027)",EAST 233 STREET,CARPENTER AVENUE,,6,0,0,0,0,0,6,0,Backing Unsafely,Unspecified,,,,3899522,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/16/2018,18:48,BRONX,10466,40.894314,-73.86027,"(40.894314, -73.86027)",EAST 233 STREET,CARPENTER AVENUE,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3929656,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/06/2018,14:50,,,40.892956,-73.86382,"(40.892956, -73.86382)",BRONX RIVER PARKWAY             ,,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unsafe Speed,,,3909028,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
05/13/2018,21:30,BRONX,10466,40.892754,-73.85774,"(40.892754, -73.85774)",EAST 232 STREET,WHITE PLAINS ROAD,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unsafe Speed,,,,3899467,Sedan,Sedan,,,
05/22/2018,20:30,,,40.890396,-73.88782,"(40.890396, -73.88782)",MOSHOLU PARKWAY RAMP            ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3906514,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/27/2018,3:53,,,40.890396,-73.88782,"(40.890396, -73.88782)",MOSHOLU PARKWAY RAMP            ,,,2,0,0,0,0,0,2,0,Drugs (Illegal),Unspecified,,,,3913741,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/13/2018,21:27,BRONX,10466,40.890244,-73.860306,"(40.890244, -73.860306)",EAST 228 STREET,LOWERRE PLACE,,3,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Other Vehicular,,,,3899772,Sedan,Sedan,,,
05/17/2018,18:30,,,40.88996,-73.88738,"(40.88996, -73.88738)",MAJOR DEEGAN EXPRESSWAY         ,,,5,0,0,0,0,0,5,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,3903880,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan
05/10/2018,15:45,BRONX,10466,40.889767,-73.86401,"(40.889767, -73.86401)",BRONX BOULEVARD                 ,EAST 226 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3898845,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/14/2018,12:34,BRONX,10466,40.889225,-73.83173,"(40.889225, -73.83173)",,,1535      EAST 233 STREET,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3901133,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/20/2018,10:00,BRONX,10466,40.88919,-73.83131,"(40.88919, -73.83131)",EAST 233 STREET,DYRE AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Illnes,,,,3925598,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/04/2018,11:08,BRONX,10466,40.888588,-73.849884,"(40.888588, -73.849884)",PAULDING AVENUE                 ,EAST 230 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3916544,Sedan,Sedan,,,
05/14/2018,16:27,BRONX,10466,40.8883,-73.85682,"(40.8883, -73.85682)",BARNES AVENUE                   ,EAST 227 STREET,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,3901131,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/05/2018,21:30,BRONX,10466,40.887257,-73.85872,"(40.887257, -73.85872)",,,765       EAST 225 STREET,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3895205,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
